"No.","Time","Source","Destination","Protocol","Length","Info"
"6","1.002386602","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","91","Standard query 0xa118 AAAA example.org"
"7","1.002450745","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","93","Standard query 0x9e16 AAAA ipv4only.arpa"
"8","1.003339208","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","HTTP","408","GET /success.txt?ipv6 HTTP/1.1 "
"9","1.004161148","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","HTTP","391","GET /canonical.html HTTP/1.1 "
"10","1.010313412","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","176","Standard query response 0x9e16 AAAA ipv4only.arpa SOA sns.dns.icann.org"
"11","1.010313510","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","203","Standard query response 0xa118 AAAA example.org AAAA 2600:1406:5e00:6::17ce:bc29 AAAA 2600:1406:5e00:6::17ce:bc3c AAAA 2600:1408:ec00:36::1736:7f2e AAAA 2600:1408:ec00:36::1736:7f2f"
"12","1.033116483","2600:1901:0:38d7::","2a0d:3344:18fa:4916:f109:b90c:1660:710d","HTTP","302","HTTP/1.1 200 OK  (text/plain)"
"13","1.033117059","2600:1901:0:38d7::","2a0d:3344:18fa:4916:f109:b90c:1660:710d","HTTP","384","HTTP/1.1 200 OK  (text/html)"
"14","1.033165418","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","TCP","86","39518  >  80 [ACK] Seq=306 Ack=299 Win=64 Len=0 TSval=4279362161 TSecr=3325340454"
"15","1.033185446","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","TCP","86","39528  >  80 [ACK] Seq=323 Ack=217 Win=64 Len=0 TSval=4279362161 TSecr=3199250212"
"16","1.035277938","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","93","Standard query 0x68dc AAAA ipv4only.arpa"
"17","1.035992196","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","HTTP","408","GET /success.txt?ipv6 HTTP/1.1 "
"18","1.037650309","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","176","Standard query response 0x68dc AAAA ipv4only.arpa SOA sns.dns.icann.org"
"19","1.077310659","2600:1901:0:38d7::","2a0d:3344:18fa:4916:f109:b90c:1660:710d","HTTP","302","HTTP/1.1 200 OK  (text/plain)"
"20","1.118268304","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","TCP","86","39528  >  80 [ACK] Seq=645 Ack=433 Win=64 Len=0 TSval=4279362246 TSecr=3199250256"
"21","1.201666263","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","Application Data"
"22","1.201750663","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","Application Data"
"23","1.231513080","2a06:98c1:3107::6812:2715","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  48266 [ACK] Seq=1 Ack=33 Win=18 Len=0 TSval=2166782938 TSecr=125400336"
"24","1.252461115","2a06:98c1:3107::6812:2715","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","114","Application Data"
"25","1.272257533","2a06:98c1:3107::6812:2715","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","114","Application Data"
"26","1.272299322","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TCP","86","48264  >  443 [ACK] Seq=33 Ack=29 Win=63 Len=0 TSval=125400407 TSecr=3432818493"
"27","1.293272979","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TCP","86","48266  >  443 [ACK] Seq=33 Ack=29 Win=63 Len=0 TSval=125400428 TSecr=2166782963"
"29","1.844410431","2603:1026:c0d:100f::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","125","Application Data"
"30","1.844447707","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2603:1026:c0d:100f::2","TCP","74","52796  >  443 [RST] Seq=1 Win=0 Len=0"
"31","1.866266073","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2603:1026:2400::2","TCP","86","43454  >  443 [ACK] Seq=1 Ack=1 Win=58 Len=0 TSval=3362543333 TSecr=30121651"
"32","1.900746787","2603:1026:2400::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","[TCP ACKed unseen segment] 443  >  43454 [ACK] Seq=1 Ack=2 Win=16383 Len=0 TSval=30131891 TSecr=3362451206"
"36","3.001708792","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2603:1026:c0d:1005::2","UDP","97","35648  >  443 Len=35"
"37","3.056359824","2603:1026:c0d:1005::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","UDP","93","443  >  35648 Len=31"
"43","4.099008838","2603:1026:c0d:100f::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","74","443  >  52796 [RST, ACK] Seq=41 Ack=1 Win=0 Len=0"
